model_id,feature,importance
LGB002,NumberOfOpenCreditLinesAndLoans,1582.0
LGB002,NumberRealEstateLoansOrLines,787.0
LGB002,NumberOfTime30-59DaysPastDueNotWorse,700.0
LGB002,NumberOfDependents_median,592.0
LGB002,NumberOfTimes90DaysLate,572.0
LGB002,NumberOfTime60-89DaysPastDueNotWorse,448.0
LGB002,RevolvingUtilization_log,343.0
LGB002,DebtRatio_log,285.0
LGB002,age_sq,203.0
LGB002,MonthlyIncome_missing_flag,75.0
LGB002,RevolvingUtilization_high_flag,57.0
LGB002,DebtRatio_high_flag,29.0
LGB002,NumberOfDependents_missing_flag,16.0
LGB003,age,972.0
LGB003,DebtRatio_capped,968.0
LGB003,RevolvingUtilization_capped,956.0
LGB003,MonthlyIncome_median,892.0
LGB003,NumberOfOpenCreditLinesAndLoans,734.0
LGB003,NumberOfTime30-59DaysPastDueNotWorse,466.0
LGB003,NumberRealEstateLoansOrLines,375.0
LGB003,NumberOfTimes90DaysLate,370.0
LGB003,NumberOfTime60-89DaysPastDueNotWorse,294.0
LGB003,NumberOfDependents_median,277.0
LGB003,RevolvingUtilization_log,233.0
LGB003,DebtRatio_log,189.0
LGB003,age_sq,138.0
LGB003,RevolvingUtilization_high_flag,65.0
LGB003,MonthlyIncome_missing_flag,57.0
LGB003,DebtRatio_high_flag,11.0
LGB003,NumberOfDependents_missing_flag,3.0
LGB004,RevolvingUtilization_capped,1444.0
LGB004,DebtRatio_capped,1283.0
LGB004,age,1271.0
LGB004,MonthlyIncome_median,1189.0
LGB004,NumberOfOpenCreditLinesAndLoans,1019.0
LGB004,NumberOfTime30-59DaysPastDueNotWorse,741.0
LGB004,NumberOfTimes90DaysLate,564.0
LGB004,NumberRealEstateLoansOrLines,551.0
LGB004,NumberOfTime60-89DaysPastDueNotWorse,470.0
LGB004,NumberOfDependents_median,347.0
LGB004,DebtRatio_log,297.0
LGB004,RevolvingUtilization_log,286.0
LGB004,age_sq,227.0
LGB004,MonthlyIncome_missing_flag,92.0
LGB004,DebtRatio_high_flag,16.0
LGB004,NumberOfDependents_missing_flag,3.0
LGB004,RevolvingUtilization_high_flag,0.0
CAT001,RevolvingUtilization_capped,20.383722555261205
CAT001,RevolvingUtilization_log,18.99034051761427
CAT001,NumberOfTime30-59DaysPastDueNotWorse,15.508554138126431
CAT001,NumberOfTimes90DaysLate,13.763957478468583
CAT001,NumberOfTime60-89DaysPastDueNotWorse,7.7781208638330215
CAT001,age,4.918013403280854
CAT001,age_sq,4.3164715240464195
CAT001,NumberOfOpenCreditLinesAndLoans,3.644209008221867
CAT001,NumberRealEstateLoansOrLines,3.1697428743638474
CAT001,DebtRatio_capped,2.3628018232121173
CAT001,MonthlyIncome_median,1.930991132886417
CAT001,DebtRatio_log,1.4819918224153488
CAT001,DebtRatio_high_flag,0.6342803470055092
CAT001,NumberOfDependents_median,0.6281971833618107
CAT001,MonthlyIncome_missing_flag,0.2732259622617061
CAT001,RevolvingUtilization_high_flag,0.2153793656406075
CAT001,NumberOfDependents_missing_flag,0.0
CAT002,RevolvingUtilization_capped,18.387261543413278
CAT002,RevolvingUtilization_log,18.328181258041276
CAT002,NumberOfTime30-59DaysPastDueNotWorse,14.578962127687033
CAT002,NumberOfTimes90DaysLate,12.74979655318368
CAT002,NumberOfTime60-89DaysPastDueNotWorse,7.377559309911398
CAT002,age,4.877446065298621
CAT002,age_sq,4.726244495471591
CAT002,NumberOfOpenCreditLinesAndLoans,4.270817437077541
CAT002,NumberRealEstateLoansOrLines,3.9165196707600005
CAT002,DebtRatio_log,3.041939717486115
CAT002,DebtRatio_capped,2.5257428449125574
CAT002,MonthlyIncome_median,2.3997168005943923
CAT002,DebtRatio_high_flag,0.9690281532064796
CAT002,NumberOfDependents_median,0.9292503792170967
CAT002,MonthlyIncome_missing_flag,0.6045547064024258
CAT002,RevolvingUtilization_high_flag,0.28762255743107945
CAT002,NumberOfDependents_missing_flag,0.029356379905442282
CAT003,RevolvingUtilization_log,20.771237692616822
CAT003,RevolvingUtilization_capped,19.01101339338968
CAT003,NumberOfTime30-59DaysPastDueNotWorse,15.48393193035332
CAT003,NumberOfTimes90DaysLate,13.845019585525709
CAT003,NumberOfTime60-89DaysPastDueNotWorse,7.393474727382243
CAT003,age,5.547377791792601
CAT003,age_sq,3.5395430166644384
CAT003,NumberRealEstateLoansOrLines,3.3080700555086593
CAT003,NumberOfOpenCreditLinesAndLoans,3.301062655310403
CAT003,DebtRatio_capped,2.0602532302146352
CAT003,MonthlyIncome_median,2.009962717123643
CAT003,DebtRatio_log,1.8491424644681642
CAT003,DebtRatio_high_flag,0.6856768509784759
CAT003,NumberOfDependents_median,0.6131489108261957
CAT003,MonthlyIncome_missing_flag,0.3099402088930913
CAT003,RevolvingUtilization_high_flag,0.2283667253877417
CAT003,NumberOfDependents_missing_flag,0.04277804356417799
CAT004,RevolvingUtilization_log,21.426905591451533
CAT004,RevolvingUtilization_capped,18.190802962537173
CAT004,NumberOfTime30-59DaysPastDueNotWorse,15.943628607465733
CAT004,NumberOfTimes90DaysLate,14.17235712807843
CAT004,NumberOfTime60-89DaysPastDueNotWorse,7.752453878288233
CAT004,age,4.86525003965253
CAT004,age_sq,3.8490683261834224
CAT004,NumberOfOpenCreditLinesAndLoans,3.471243001096721
CAT004,NumberRealEstateLoansOrLines,2.9761375160565424
CAT004,DebtRatio_log,1.9157686658840367
CAT004,DebtRatio_capped,1.8456008773628956
CAT004,MonthlyIncome_median,1.5838294963614457
CAT004,DebtRatio_high_flag,1.022701499721934
CAT004,NumberOfDependents_median,0.4448171282425666
CAT004,MonthlyIncome_missing_flag,0.30668634071404677
CAT004,RevolvingUtilization_high_flag,0.23176242277067763
CAT004,NumberOfDependents_missing_flag,0.0009865181320839482
