table_name,model_id,split,bucket,total,bad,good,bad_rate,cum_bad,cum_total,cum_bad_pct,cum_total_pct,lift
lift,WLOG002,train,"(0.0761, 0.122]",13956,1744,12212,0.1249641731155058,4496,20848,0.6417356551527262,0.1993631243246344,3.2189285622738892
lift,WLOG002,train,"(0.0471, 0.0761]",9290,812,8478,0.0874058127018299,5308,30138,0.7576363117328004,0.2882005871496466,2.6288506877309095
lift,WLOG002,train,"(0.0307, 0.0471]",10721,516,10205,0.0481298386344557,5824,40859,0.8312874678846702,0.3907222705669723,2.1275661269023622
lift,WLOG002,train,"(0.0212, 0.0307]",19893,533,19360,0.0267933443924998,6357,60752,0.907365115615187,0.5809530184655695,1.5618562719783209
lift,WLOG002,train,"(0.014100000000000001, 0.0212]",43821,649,43172,0.0148102507929987,7006,104573,1.0,1.0,1.0
lift,WLOG002,validation,"(0.122, 0.788]",2992,1202,1790,0.4017379679144385,1202,2992,0.4002664002664002,0.0667603811053841,5.995567934739058
lift,WLOG002,validation,"(0.104, 0.122]",5946,746,5200,0.1254624957954927,1948,8938,0.6486846486846487,0.1994332507753754,3.25264040054821
lift,WLOG002,validation,"(0.0471, 0.104]",4028,325,3703,0.0806852035749751,2273,12966,0.7569097569097569,0.2893098600977308,2.6162598006651683
lift,WLOG002,validation,"(0.0307, 0.0471]",4538,227,4311,0.0500220361392684,2500,17504,0.8325008325008325,0.3905660798357766,2.1315236408929277
lift,WLOG002,validation,"(0.0212, 0.0307]",8475,231,8244,0.0272566371681415,2731,25979,0.9094239094239094,0.579668429390633,1.568869138483057
lift,WLOG002,validation,"(0.014100000000000001, 0.0212]",18838,272,18566,0.0144389000955515,3003,44817,1.0,1.0,1.0
lift,WLOG003,train,"(0.163, 0.89]",9646,3454,6192,0.3580758863777731,3454,9646,0.4930059948615472,0.092241783251891,5.344714482755191
lift,WLOG003,train,"(0.0885, 0.163]",3463,507,2956,0.146404851285013,3961,13109,0.5653725378247216,0.1253574058313331,4.510084857574538
lift,WLOG003,train,"(0.056, 0.0885]",13896,1275,12621,0.0917530224525043,5236,27005,0.7473594062232373,0.2582406548535473,2.8940424064796364
lift,WLOG003,train,"(0.0373, 0.056]",9409,606,8803,0.0644064193856945,5842,36414,0.8338566942620611,0.3482160787201285,2.39465304797788
lift,WLOG003,train,"(0.0254, 0.0373]",10344,392,9952,0.0378963650425367,6234,46758,0.8898087353696831,0.4471326250561808,1.9900331255360335
lift,WLOG003,train,"(0.0232, 0.0254]",10959,232,10727,0.0211698147641208,6466,57717,0.9229232086782756,0.5519302305566446,1.6721736871478652
lift,WLOG003,train,"(0.0183, 0.0232]",6543,110,6433,0.0168118600030567,6576,64260,0.9386240365401084,0.6144989624472856,1.5274623618597691
lift,WLOG003,train,"(0.0125, 0.0183]",40313,430,39883,0.0106665343685659,7006,104573,1.0,1.0,1.0
lift,WLOG003,validation,"(0.163, 0.89]",4121,1498,2623,0.3635040038825528,1498,4121,0.4988344988344988,0.0919517147510989,5.424961352648808
lift,WLOG003,validation,"(0.0885, 0.163]",1522,265,1257,0.1741130091984231,1763,5643,0.5870795870795871,0.1259120423053752,4.662616667401356
lift,WLOG003,validation,"(0.056, 0.0885]",6053,540,5513,0.0892119610110688,2303,11696,0.7668997668997669,0.2609723988665015,2.9386240469516807
lift,WLOG003,validation,"(0.0373, 0.056]",3945,235,3710,0.0595690747782002,2538,15641,0.8451548451548452,0.3489970323761073,2.4216677127616326
lift,WLOG003,validation,"(0.0254, 0.0373]",4342,140,4202,0.0322432058959005,2678,19983,0.8917748917748918,0.4458799116406721,2.0000337949594815
lift,WLOG003,validation,"(0.0232, 0.0254]",4698,99,4599,0.0210727969348659,2777,24681,0.9247419247419248,0.5507062052346208,1.679192854469383
lift,WLOG003,validation,"(0.0183, 0.0232]",2748,41,2707,0.0149199417758369,2818,27429,0.9383949383949384,0.612022223709753,1.5332693847404557
lift,WLOG003,validation,"(0.0125, 0.0183]",17388,185,17203,0.0106395215090867,3003,44817,1.0,1.0,1.0
lift,WLOG004,train,"(0.152, 0.941]",10230,3672,6558,0.3589442815249267,3672,10230,0.5241221809877248,0.0978263987836248,5.357676327705703
lift,WLOG004,train,"(0.0842, 0.152]",3886,555,3331,0.1428203808543489,4227,14116,0.603339994290608,0.1349870425444426,4.469614141608937
lift,WLOG004,train,"(0.0541, 0.0842]",12021,1031,10990,0.0857665751601364,5258,26137,0.7504995717956038,0.249940233138573,3.0027161388599177
