table_name,model_id,split,predicted_prob,actual_rate,bin,count
calibration,RLOG003,validation,0.0344165754844693,0.0383842892211559,6,
calibration,RLOG003,validation,0.0501431464036986,0.0531012940651494,7,
calibration,RLOG003,validation,0.0830326435799258,0.0874804731086811,8,
calibration,RLOG003,validation,0.1416960271974127,0.1253904506916555,9,
calibration,RLOG003,validation,0.27418568830047,0.285586791610888,10,
calibration,RLOG004,train,0.0093641856013598,0.0113788487282463,1,
calibration,RLOG004,train,0.01399955889357,0.0128143827101463,2,
calibration,RLOG004,train,0.0175874334512799,0.0159701635268241,3,
calibration,RLOG004,train,0.021255436276267,0.0175002390743042,4,
calibration,RLOG004,train,0.0261623286178015,0.022566456301396,5,
calibration,RLOG004,train,0.0342725458360403,0.0358611456440661,6,
calibration,RLOG004,train,0.0498542669942315,0.0570909438653533,7,
calibration,RLOG004,train,0.0819632555434622,0.0917089031270919,8,
calibration,RLOG004,train,0.140608547227385,0.127570048771158,9,
calibration,RLOG004,train,0.2748935402320501,0.2774909160451329,10,
calibration,RLOG004,validation,0.0093252668150703,0.0133868808567603,1,
calibration,RLOG004,validation,0.0139528694791081,0.0113788487282463,2,
calibration,RLOG004,validation,0.0175178298144287,0.0111582236108011,3,
calibration,RLOG004,validation,0.0211893817985068,0.0169567157518964,4,
calibration,RLOG004,validation,0.0261677722499625,0.0274431057563587,5,
calibration,RLOG004,validation,0.0344056919374288,0.0383842892211559,6,
calibration,RLOG004,validation,0.0501144130365883,0.0528781793842034,7,
calibration,RLOG004,validation,0.0829659712639517,0.0874804731086811,8,
calibration,RLOG004,validation,0.1416380152953825,0.1249442213297635,9,
calibration,RLOG004,validation,0.2744227178136766,0.28603302097278,10,
calibration,RLOG005,train,0.0120598387110882,0.0096576783323771,1,
calibration,RLOG005,train,0.0167529790841565,0.0115711963278186,2,
calibration,RLOG005,train,0.0204728831058968,0.015396385196519,3,
calibration,RLOG005,train,0.0243207313909521,0.0193172037869369,4,
calibration,RLOG005,train,0.0295253388497519,0.0256263147829412,5,
calibration,RLOG005,train,0.0385071428290665,0.0371043320263938,6,
calibration,RLOG005,train,0.0558458844864114,0.054030792770393,7,
calibration,RLOG005,train,0.0911012293767542,0.0875968250932389,8,
calibration,RLOG005,train,0.1516663278189317,0.1383762073252366,9,
calibration,RLOG005,train,0.2591058823380386,0.2712755785044942,10,
calibration,RLOG005,validation,0.012037517467383,0.0102632753235162,1,
calibration,RLOG005,validation,0.0167013960947163,0.0116019634091923,2,
calibration,RLOG005,validation,0.0203936662572736,0.0133898683329613,3,
calibration,RLOG005,validation,0.0242479129593374,0.0171798304328424,4,
calibration,RLOG005,validation,0.0295250288479261,0.0267737617135207,5,
calibration,RLOG005,validation,0.0386153973730485,0.038607453693372,6,
calibration,RLOG005,validation,0.0561598576709591,0.0551093261936635,7,
calibration,RLOG005,validation,0.0919113032555869,0.0859183218031689,8,
calibration,RLOG005,validation,0.1523817003020997,0.1340919232485497,9,
calibration,RLOG005,validation,0.2587204848443674,0.2771084337349397,10,
calibration,RLOG006,train,0.0097045313587256,0.0108051252629565,1,
calibration,RLOG006,train,0.014301851574601,0.0123362341015587,2,
calibration,RLOG006,train,0.0178826005754697,0.015587644639954,3,
calibration,RLOG006,train,0.021543564429607,0.0190303146217844,4,
