model_id,split,mean_abs_calibration_error,max_abs_calibration_error,mean_squared_calibration_error
WGNB003,validation,0.0797634236761384,0.6288081042332543,0.04008116742941271
WGNB004,train,0.08028337490793444,0.6269823571350377,0.03987466510663581
WGNB004,validation,0.07976342361968532,0.6288081041456927,0.040081167419661015
WGNB005,train,0.0802833743692826,0.6269823565099463,0.039874665038387824
WGNB005,validation,0.07976342305515169,0.6288081032700436,0.040081167322139996
WGNB006,train,0.08028336898276926,0.6269823502588807,0.03987466435588825
WGNB006,validation,0.07976341740981914,0.6288080945134267,0.04008116634691325
WGNB007,train,0.08028331511817628,0.6269822877286632,0.03987465752836696
WGNB007,validation,0.07976336095712369,0.6288080069360711,0.040081156593169666
WGNB008,train,0.08028277652684061,0.6269816604806985,0.03987458900189386
WGNB008,validation,0.07976266468733113,0.6288071300422255,0.040081054240708146
WGNB009,train,0.08022103558507543,0.62697519715831,0.03987074194227857
WGNB009,validation,0.0796719047849278,0.6287982509928896,0.04007587904435019
WGNB010,train,0.08019229167423397,0.6269034560769577,0.03986509200442382
WGNB010,validation,0.07971029710425398,0.6287185331142253,0.04006257777763405
WGNB011,train,0.08081413623511456,0.5319244679772562,0.03224809622307065
WGNB011,validation,0.07796745511850234,0.5201639135054278,0.030730152592038738
WGNB012,train,0.08315718653857729,0.6268403237309577,0.04009530274728189
WGNB012,validation,0.08536006153321725,0.6288574202688539,0.040391518173009865
WGNB013,train,0.08208423376712479,0.6270376768387177,0.039974085381819756
WGNB013,validation,0.08186669551486876,0.6263538356433123,0.039860605235409255
WGNB014,train,0.08107683892984008,0.6262560539978435,0.03983424296816445
WGNB014,validation,0.08108744636653081,0.6270449627342594,0.03991685886707815
WLOG001,train,0.0023186642707092972,0.00937004659508428,1.4840963349744754e-05
WLOG001,validation,0.005527909541433263,0.022855287312700034,8.769943525856683e-05
WLOG002,train,0.003698689177518127,0.013440886543862496,3.062528855958792e-05
WLOG002,validation,0.0035147952570745017,0.005992296615402806,1.3583334665476492e-05
WLOG003,train,0.006205652302252266,0.014540731418019898,5.662309126291334e-05
WLOG003,validation,0.009174958514680552,0.042309315677796694,0.00022385463280896083
WLOG004,train,0.007989489366521002,0.0226264519165056,9.998287414815179e-05
WLOG004,validation,0.010108583048343337,0.0444562408761576,0.00025352119988941604
WLOG005,train,0.0056311239640334295,0.012023657235590998,3.961551643359571e-05
WLOG005,validation,0.006184105268258484,0.018697635510141794,6.431868775276745e-05
XGB001,train,0.0033811112330533943,0.009835476347480832,1.8644991888500415e-05
XGB001,validation,0.003221475003765008,0.007954339565362678,1.656863844921543e-05
XGB002,train,0.003153799117832305,0.011939143433206456,1.9591226332333032e-05
XGB002,validation,0.003375389934378707,0.00893229181308508,1.8954287429263467e-05
XGB003,train,0.003625840966567291,0.012044315880207601,2.2989786557622853e-05
XGB003,validation,0.005059896643054759,0.015298962998688104,4.302575621635184e-05
XGB004,train,0.003969529502497101,0.012483497093069895,2.518782092230452e-05
XGB004,validation,0.004968814379974021,0.017106612011398015,4.424481037295762e-05
XGBSTACK001,train,0.001793200621397762,0.00924628581313841,9.805944181123938e-06
XGBSTACK001,validation,0.0032289952242153634,0.0086756210742343,1.7462241243490984e-05
