model_id,split,threshold,approval_rate,rejection_rate,approved_bad_rate,rejected_bad_rate,captured_bad_share_rejected,avg_approved_pd,avg_rejected_pd
BLOG001,validation,0.55,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.56,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.57,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.58,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.59,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.6,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.61,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.62,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.63,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.64,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.65,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.66,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.67,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.68,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.69,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.7,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.71,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.72,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.73,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.74,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.75,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.76,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
BLOG001,validation,0.77,1.0,0.0,0.06700582368297744,,0.0,0.06716359258703701,
