model_id,split,risk_band,applicant_count,default_count,actual_default_rate,min_pd,mean_pd,max_pd,min_percentile,max_percentile,total_applicants,applicant_pct
GNB008,validation,Very High Risk,6723,993,0.14770191878625613,0.037111152846831,0.1449363473389555,0.2858088008332752,0.8000089251846397,0.9499966530557601,44817,0.15001004083271974
GNB008,validation,Extreme Risk,2241,848,0.3784024988844266,0.2858660611887904,0.5071133602852387,0.999999,0.9500189660173595,0.9990628556128255,44817,0.050003346944239906
GNB009,train,Low Risk,20914,356,0.017022090465716743,1e-06,1.2023831050549588e-05,4.022558994064416e-05,0.025312461151540074,0.19999426238130302,104573,0.19999426238130302
GNB009,train,Medium Risk,31372,625,0.01992222363891368,4.0241337319181976e-05,0.000155644898729907,0.0003169154992964,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
GNB009,train,High Risk,31372,1713,0.05460283054953462,0.0003169582141963,0.001918999597758205,0.0088658406961862,0.5000047813489141,0.7999961749208687,104573,0.30000095626978285
GNB009,train,Very High Risk,15686,2456,0.1565727400229504,0.0088659691305844,0.04879127304329378,0.123100687621027,0.800005737618697,0.9499966530557601,104573,0.15000047813489142
GNB009,train,Extreme Risk,5229,1856,0.3549435838592465,0.1231301858604839,0.32809953931892116,0.999999,0.9500062157535885,0.9991202317997954,104573,0.050003346944239906
GNB009,validation,Low Risk,8963,147,0.01640075867455093,1e-06,1.2237430325518935e-05,4.070958240274723e-05,0.02507976883771783,0.19999107481536024,44817,0.19999107481536024
GNB009,validation,Medium Risk,13445,281,0.02089996281145407,4.076969036018256e-05,0.0001556510674968208,0.0003176009884724,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
GNB009,validation,High Risk,13445,729,0.05422089996281145,0.000317611196781,0.0019803703186107935,0.0092279147849148,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
GNB009,validation,Very High Risk,6723,1014,0.15082552431950022,0.0092290512389351,0.046841984908460164,0.1196776118645034,0.8000089251846397,0.9499966530557601,44817,0.15001004083271974
GNB009,validation,Extreme Risk,2241,832,0.3712628290941544,0.1196832970760274,0.3338280437692418,0.999999,0.9500189660173595,0.9990851685744249,44817,0.050003346944239906
GNB010,train,Low Risk,20914,362,0.017308979630869276,1e-06,8.416450922059725e-06,2.7597782493059985e-05,0.0279947978923814,0.19999426238130302,104573,0.19999426238130302
GNB010,train,Medium Risk,31372,626,0.019954099196735943,2.760303289679809e-05,0.00010783753959428709,0.0002230252292165,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
