model_id,split,count,mean,std,min,max,p01,p05,p25,p50,p75,p95,p99
NN004,train,104573,0.06687881133540514,0.11326119045640604,0.001546407472321,0.835777172973087,0.0047183036472130836,0.00634176661515506,0.0113545686927197,0.0223458346876703,0.0683029062789435,0.31662840453893937,0.5874819131241319
NN004,validation,44817,0.06714046298035485,0.11337726654536648,0.0014440416207742,0.80094396634847,0.004706117710819288,0.006326999838619621,0.0112716276793234,0.0222044474838878,0.0686634313502953,0.3213860921423953,0.5854847727663971
NN005,train,104573,0.06741037116119351,0.09984961775437445,1e-06,0.9840812094551188,0.002477457572853728,0.00535270179409028,0.0135287305595321,0.0277548709752306,0.0826843222572677,0.24902456056764197,0.5337877001801947
NN005,validation,44817,0.06776061691647542,0.10038819391681715,1e-06,0.9841235346392752,0.0024303152827922963,0.00542135253846252,0.0135151552769883,0.0281607742489371,0.0839742888907037,0.2490576636821005,0.5274319484210154
NN006,train,104573,0.06520172360522578,0.11297513805892767,1e-06,0.9945728240098566,0.004553926366905628,0.0063719628222502,0.0112816948482151,0.0218062283624534,0.0637534049361097,0.30217095965293034,0.5953284441607843
NN006,validation,44817,0.06548437651792682,0.11358904016783977,1e-06,0.9339881627308628,0.004566112143762508,0.00636613806784836,0.011215919853872,0.0216623272152702,0.0641332105774373,0.30508331256685856,0.5952729716209272
NN007,train,104573,0.06547241937142888,0.11372766772060085,1e-06,0.995616871281314,0.0046824504819621485,0.00587735521756238,0.0096582074315205,0.0200124204249349,0.0642360106615643,0.3236364270794262,0.5866385063702029
NN007,validation,44817,0.06554387076880211,0.11363556167523364,0.000134373912191,0.9320945496233234,0.004729024522315736,0.005898859664650461,0.0096349010978482,0.0199766786443951,0.0644359064389664,0.3247950568700663,0.5792814750044465
NN008,train,104573,0.05857709250851035,0.10719592225351297,1e-06,0.9817993068643937,0.003723245118841392,0.004994023887794401,0.0079156683480355,0.0162901150924742,0.0557552647686345,0.2903627245643887,0.5623373429360019
NN008,validation,44817,0.05868337253041802,0.10698746261323169,2.624029691862605e-06,0.948504818801413,0.003723786401271352,0.0050260614429144404,0.0079175519314268,0.0163231684045773,0.0560279776385736,0.293615464353842,0.5540746402108014
NN009,train,104573,0.06700372211030681,0.11436505332758432,1e-06,0.9520989490174384,0.002839244538846668,0.00414872998684836,0.0086259855349016,0.0216664153047337,0.069481074310341,0.3229069840446394,0.5888354634300162
NN009,validation,44817,0.06736127156320325,0.11466753909069097,9.537847346286114e-05,0.8786601201524186,0.002822160133061692,0.00414979191860094,0.0086402123940684,0.0216510633053351,0.0696931544288956,0.32541798113560516,0.5835679018365342
NN010,train,104573,0.07556808338578973,0.11816714820799433,0.0046073838314483,0.7668195106345183,0.007582741549807112,0.00916370651261578,0.0149075204822442,0.0287693647110393,0.0749553885698613,0.3585929777285763,0.591350748681654
NN010,validation,44817,0.07613859924826386,0.11910510521548688,0.0048468503314611,0.6973491195270901,0.007563874437557504,0.00916733136712592,0.0147965256905391,0.028791560340442,0.0753552404803842,0.3642716922003701,0.5924063220170476
NN011,train,104573,0.06607543805941755,0.10863977532209085,1e-06,0.8491690096377222,0.004741852048264452,0.00616559466369746,0.0130676905803979,0.0244496013987989,0.0662206547061927,0.2970091242660036,0.5780140169500931
NN011,validation,44817,0.06630275685180909,0.10845682929107318,1e-06,0.7820728973471879,0.004760654553871448,0.0062095346118089005,0.0130659842350745,0.0244605326025581,0.0668960507325028,0.3005728790154124,0.5749045233790848
